Servicio,Masculino,Femenino
Facultad de Agronomía,2.104,1.101
"Facultad de Arquitectura, Diseño y Urbanismo",3.024,4.770
Facultad de Ciencias Económicas y de Administración,11.289,14.933
Facultad de Derecho,5.240,12.256
Facultad de Ingeniería,8.837,2.493
Facultad de Medicina,4.377,10.120
Facultad de Odontología,467,1.966
Facultad de Química,1.072,2.524
Facultad de Veterinaria,1.711,3.231
Facultad de Humanidades y Ciencias de la Educación,1.968,4.012
Instituto Escuela Nacional de Bellas Artes,1.041,2.465
Facultad de Psicología,3.284,10.416
Facultad de Enfermería,1.129,4.485
Facultad de Ciencias Sociales,1.805,5.253
Facultad de Ciencias,1.708,1.822
Escuela de Parteras,173,1.780
Escuela Universitaria de Música,244,140
Facultad de Información y Comunicación,2.460,3.693
Escuela de Nutrición,632,2.634
Escuela Universitaria de Tecnología Médica,2.055,7.021
Instituto Superior de Educación Física,4.185,2.547
Tecnólogo Cárnico,0,0
Tecnólogo en Madera,29,31
Lic. en Biología Humana,99,242
Tecnólogo Minero,18,20
Lic. en Diseño y Comunicación Visual,540,1.095
Lic. en Diseño de Paisaje,94,180
Lic. en Ciencias de la Atmósfera,116,82
Lic. en Física Médica,74,53
Ingeniería Química,907,1.307
Ingeniería de Alimentos,261,707
Tecnólogo en Cartografía,72,76
Lic. en Estadística,398,390
CIO Social,556,1.265
CIO Tecnológico,292,365
CIO Salud,241,735
CIO Matemática,17,10
CIO Biología-Bioquímica,12,21
Ingeniería Forestal,85,64
