Servicio,Varones,Mujeres
Agronomía,27,27
Veterinaria,28,57
"Arquitectura, Diseño y Urbanismo",26,41
Ciencias,107,135
Ingeniería,84,42
Química,11,30
Ciencias Económicas y de Administración,115,146
Ciencias Sociales,100,159
Derecho,4,2
Humanidades y Ciencias de la Educación,51,116
Enfermería,11,109
Medicina,161,440
Odontología,3,16
Psicología,1,10
