Servicio,Varones,Mujeres
Agronomía,26,26
Veterinaria,10,37
"Arquitectura, Diseño y Urbanismo",16,27
Ciencias,56,94
Ingeniería,102,31
Química,15,21
Ciencias Económicas y de Administración,108,141
Ciencias Sociales,127,229
Derecho,8,15
Humanidades y Ciencias de la Educación,44,211
Información y Comunicación,0,1
Enfermería,5,18
Medicina,178,433
Odontología,5,18
Psicología,4,13
